id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
269,3,14,15.1,10,19,20,2025-08-08 10:23:39
270,3,15,15.5,10,19,20,2025-08-08 10:23:39
271,3,16,14.9,10,19,20,2025-08-08 10:23:39
272,3,17,14.9,10,19,20,2025-08-08 10:23:39
273,3,18,14.9,10,19,20,2025-08-08 10:23:39
274,3,19,15.4,10,19,20,2025-08-08 10:23:39
275,3,20,14.5,10,19,20,2025-08-08 10:23:39
276,3,21,14.6,10,19,20,2025-08-08 10:23:39
277,4,10,14.7,10,19,35,2025-08-08 10:23:39
278,4,11,15.2,10,19,35,2025-08-08 10:23:39
279,4,12,14.6,10,19,35,2025-08-08 10:23:39
280,4,13,15.0,10,19,35,2025-08-08 10:23:39
281,4,14,15.1,10,19,35,2025-08-08 10:23:39
282,4,15,15.5,10,19,35,2025-08-08 10:23:39
283,4,16,14.9,10,19,35,2025-08-08 10:23:39
284,4,17,14.9,10,19,35,2025-08-08 10:23:39
285,4,18,14.9,10,19,35,2025-08-08 10:23:39
286,4,19,15.3,10,19,35,2025-08-08 10:23:39
287,4,20,14.5,10,19,35,2025-08-08 10:23:39
288,4,21,14.6,10,19,35,2025-08-08 10:23:39
289,5,10,14.7,10,19,50,2025-08-08 10:23:39
290,5,11,15.2,10,19,50,2025-08-08 10:23:39
291,5,12,14.6,10,19,50,2025-08-08 10:23:39
292,5,13,15.0,10,19,50,2025-08-08 10:23:39
293,5,14,15.0,10,19,50,2025-08-08 10:23:39
294,5,15,15.4,10,19,50,2025-08-08 10:23:39
295,5,16,14.9,10,19,50,2025-08-08 10:23:39
296,5,17,14.9,10,19,50,2025-08-08 10:23:39
297,5,18,14.9,10,19,50,2025-08-08 10:23:39
298,5,19,15.4,10,19,50,2025-08-08 10:23:39
299,5,21,14.6,10,19,50,2025-08-08 10:23:39
300,6,10,14.7,10,20,5,2025-08-08 10:23:39
301,6,11,15.2,10,20,5,2025-08-08 10:23:39
302,6,12,14.6,10,20,5,2025-08-08 10:23:39
303,6,13,15.1,10,20,5,2025-08-08 10:23:39
304,6,14,15.1,10,20,5,2025-08-08 10:23:39
305,6,15,15.5,10,20,5,2025-08-08 10:23:39
306,6,16,14.9,10,20,5,2025-08-08 10:23:39
307,6,17,14.9,10,20,5,2025-08-08 10:23:39
308,6,18,14.9,10,20,5,2025-08-08 10:23:39
309,6,19,15.4,10,20,5,2025-08-08 10:23:39
310,6,21,14.6,10,20,5,2025-08-08 10:23:39
311,7,10,14.6,10,20,20,2025-08-08 10:23:39
312,7,11,15.1,10,20,20,2025-08-08 10:23:39
313,7,12,14.5,10,20,20,2025-08-08 10:23:39
314,7,13,15.0,10,20,20,2025-08-08 10:23:39
315,7,14,15.0,10,20,20,2025-08-08 10:23:39
316,7,15,15.4,10,20,20,2025-08-08 10:23:39
317,7,16,14.9,10,20,20,2025-08-08 10:23:39
318,7,17,14.9,10,20,20,2025-08-08 10:23:39
319,7,18,14.8,10,20,20,2025-08-08 10:23:39
320,7,19,15.3,10,20,20,2025-08-08 10:23:39
321,7,21,14.3,10,20,20,2025-08-08 10:23:39
322,8,10,14.6,10,20,35,2025-08-08 10:23:39
323,8,11,15.0,10,20,35,2025-08-08 10:23:39
324,8,12,14.4,10,20,35,2025-08-08 10:23:39
325,8,13,14.9,10,20,35,2025-08-08 10:23:39
326,8,14,14.9,10,20,35,2025-08-08 10:23:39
327,8,15,15.4,10,20,35,2025-08-08 10:23:39
328,8,16,14.7,10,20,35,2025-08-08 10:23:39
329,8,17,14.9,10,20,35,2025-08-08 10:23:39
330,8,18,14.7,10,20,35,2025-08-08 10:23:39
331,8,19,15.3,10,20,35,2025-08-08 10:23:39
332,8,21,13.7,10,20,35,2025-08-08 10:23:39
333,9,10,14.4,10,20,50,2025-08-08 10:23:39
334,9,11,14.8,10,20,50,2025-08-08 10:23:39
335,9,12,14.3,10,20,50,2025-08-08 10:23:39
336,9,13,14.8,10,20,50,2025-08-08 10:23:39
337,9,14,14.7,10,20,50,2025-08-08 10:23:39
338,9,15,15.3,10,20,50,2025-08-08 10:23:39
339,9,16,14.6,10,20,50,2025-08-08 10:23:39
340,9,17,14.8,10,20,50,2025-08-08 10:23:39
341,9,18,14.4,10,20,50,2025-08-08 10:23:39
342,9,19,15.3,10,20,50,2025-08-08 10:23:39
343,9,21,13.1,10,20,50,2025-08-08 10:23:39
344,10,10,14.2,10,21,5,2025-08-08 10:23:39
345,10,11,14.6,10,21,5,2025-08-08 10:23:39
346,10,12,14.0,10,21,5,2025-08-08 10:23:39
347,10,13,14.7,10,21,5,2025-08-08 10:23:39
348,10,14,14.5,10,21,5,2025-08-08 10:23:39
349,10,15,15.1,10,21,5,2025-08-08 10:23:39
350,10,16,14.3,10,21,5,2025-08-08 10:23:39
351,10,17,14.7,10,21,5,2025-08-08 10:23:39
352,10,18,14.2,10,21,5,2025-08-08 10:23:39
353,10,19,15.1,10,21,5,2025-08-08 10:23:39
354,10,21,12.5,10,21,5,2025-08-08 10:23:39
355,11,10,13.9,10,21,20,2025-08-08 10:23:39
356,11,11,14.3,10,21,20,2025-08-08 10:23:39
357,11,12,13.7,10,21,20,2025-08-08 10:23:39
358,11,13,14.5,10,21,20,2025-08-08 10:23:39
359,11,14,14.3,10,21,20,2025-08-08 10:23:39
360,11,15,14.9,10,21,20,2025-08-08 10:23:39
361,11,16,14.1,10,21,20,2025-08-08 10:23:39
362,11,17,14.5,10,21,20,2025-08-08 10:23:39
363,11,18,13.9,10,21,20,2025-08-08 10:23:39
364,11,19,14.9,10,21,20,2025-08-08 10:23:39
365,11,21,11.9,10,21,20,2025-08-08 10:23:39
366,12,10,13.7,10,21,35,2025-08-08 10:23:39
367,12,11,13.9,10,21,35,2025-08-08 10:23:39
368,12,12,13.4,10,21,35,2025-08-08 10:23:39
369,12,13,14.3,10,21,35,2025-08-08 10:23:39
370,12,14,14.0,10,21,35,2025-08-08 10:23:39
371,12,15,14.6,10,21,35,2025-08-08 10:23:39
372,12,16,13.8,10,21,35,2025-08-08 10:23:39
373,12,17,14.4,10,21,35,2025-08-08 10:23:39
374,12,18,13.6,10,21,35,2025-08-08 10:23:39
375,12,19,14.8,10,21,35,2025-08-08 10:23:39
376,12,21,11.4,10,21,35,2025-08-08 10:23:39
377,13,10,13.4,10,21,50,2025-08-08 10:23:39
378,13,11,13.6,10,21,50,2025-08-08 10:23:39
379,13,12,13.1,10,21,50,2025-08-08 10:23:39
380,13,13,14.1,10,21,50,2025-08-08 10:23:39
381,13,14,13.7,10,21,50,2025-08-08 10:23:39
382,13,15,14.4,10,21,50,2025-08-08 10:23:39
